"pointid","xcoord","ycoord"
817,1689384.7044,2319187.1808
818,1688713.3253,2308944.9794
819,1688692.3002,2308887.9429
820,1688413.1272,2312206.2234
821,1688712.5985,2309088.9277
822,1688716.2892,2309077.8161
823,1689807.6045,2313925.9303
824,1689719.9364,2311928.299
825,1692235.6172,2310268.5395
826,1690475.1643,2308560.3276
827,1693515.4321,2308034.9728
828,1693657.8426,2306066.333
829,1693505.0062,2308174.2125
830,1693343.1601,2310762.4244
831,1695270.1538,2309069.3053
832,1695331.7632,2308388.2933
833,1694252.3219,2312653.8835
834,1694308.7676,2310930.9455
835,1698812.4382,2314673.8044
836,1703513.38,2320963.574
837,1700535.7761,2316023.3251
838,1700464.0283,2316020.4164
839,1703802.3127,2315035.4423
840,1704298.9044,2314108.1502
841,1706085.541,2317618.6515
842,1707840.4694,2317181.8704
843,1707382.8144,2316521.3858
844,1709470.4562,2319391.0454
845,1709881.5693,2319735.8707
846,1711085.1366,2319939.9021
847,1721688.823,2330355.2836
848,1721819.7333,2329249.2333
849,1729464.3041,2330784.0498
850,1726209.061,2340116.8769
851,1718878.0184,2335899.8747
852,1734817.9223,2340641.5456
853,1727732.1638,2352493.1852
854,1727979.676,2352848.9251
855,1720459.1053,2342978.1946
856,1719989.9851,2348743.0944
857,1718071.3881,2347360.4623
858,1712035.0757,2344260.3772
859,1710500.3617,2341123.3275
860,1713716.4594,2335425.5565
861,1706240.6797,2336727.2702
862,1709193.172,2329335.7989
863,1705712.3946,2333231.847
864,1706542.1837,2332426.2723
865,1704426.4494,2335691.5584
866,1703564.3437,2334408.9408
867,1707287.703,2329786.0175
868,1704958.0952,2330133.3439
869,1707149.378,2329723.2548
870,1706394.4248,2327624.8518
871,1707920.5346,2326290.4496
872,1708356.2251,2324350.9895
873,1706221.1816,2320278.1956
874,1706252.6045,2318492.1678
875,1705193.8151,2318022.5685
876,1704315.9575,2319522.7048
877,1704775.6987,2321297.7381
878,1702952.6284,2321981.3122
879,1704820.444,2326288.0895
880,1704938.3281,2329549.7066
